#datetime;z_new_flow_RS
20190727T162459;1.4072
20190727T162559;1.4071
20190727T162659;1.407
20190727T162759;1.4068
20190727T162859;1.4067
20190727T162959;1.4065
20190727T163059;1.4064
20190727T163159;1.4063
20190727T163259;1.4062
20190727T163359;1.406
20190727T163459;1.4059
20190727T163559;1.4058
20190727T163659;1.4057
20190727T163759;1.4056
20190727T163859;1.4055
20190727T163959;1.4054
20190727T164059;1.4053
20190727T164159;1.4052
20190727T164259;1.4051
20190727T164359;1.405
20190727T164459;1.4049
20190727T164559;1.4048
20190727T164659;1.4047
20190727T164759;1.4046
20190727T164859;1.4045
20190727T164959;1.4044
20190727T165059;1.4043
20190727T165159;1.4043
20190727T165259;1.4042
20190727T165359;1.4041
20190727T165459;1.404
20190727T165559;1.4039
20190727T165659;1.4039
20190727T165759;1.4038
20190727T165859;1.4037
20190727T165959;1.4036
20190727T170059;1.4036
20190727T170159;1.4035
20190727T170259;1.4034
20190727T170359;1.4034
20190727T170459;1.4033
20190727T170559;1.4032
20190727T170659;1.4032
20190727T170759;1.4031
20190727T170859;1.403
20190727T170959;1.403
20190727T171059;1.4029
20190727T171159;1.4028
20190727T171259;1.4028
20190727T171359;1.4027
20190727T171459;1.4027
20190727T171559;1.4027
20190727T171659;1.4026
20190727T171759;1.4026
20190727T171859;1.4027
20190727T171959;1.4027
20190727T172059;1.4027
20190727T172159;1.4028
20190727T172259;1.4029
20190727T172359;1.403
20190727T172459;1.4031
20190727T172559;1.4033
20190727T172659;1.4034
20190727T172759;1.4036
20190727T172859;1.4038
20190727T172959;1.404
20190727T173059;1.4043
20190727T173159;1.4046
20190727T173259;1.4049
20190727T173359;1.4054
20190727T173459;1.406
20190727T173559;1.4065
20190727T173659;1.4071
20190727T173759;1.4077
20190727T173859;1.4083
20190727T173959;1.4089
20190727T174059;1.4095
20190727T174159;1.4101
20190727T174259;1.4108
20190727T174359;1.4114
20190727T174459;1.412
20190727T174559;1.4127
20190727T174659;1.4133
20190727T174759;1.414
20190727T174859;1.4147
20190727T174959;1.4153
20190727T175059;1.416
20190727T175159;1.4167
20190727T175259;1.4174
20190727T175359;1.4181
20190727T175459;1.4188
20190727T175559;1.4195
20190727T175659;1.4202
20190727T175759;1.4209
20190727T175859;1.4216
20190727T175959;1.4223
20190727T180059;1.423
20190727T180159;1.4236
20190727T180259;1.4243
20190727T180359;1.4249
20190727T180459;1.4255
20190727T180559;1.4261
20190727T180659;1.4268
20190727T180759;1.4274
20190727T180859;1.4281
20190727T180959;1.4287
20190727T181059;1.4294
20190727T181159;1.4301
20190727T181259;1.4308
20190727T181359;1.4315
20190727T181459;1.4322
20190727T181559;1.4329
20190727T181659;1.4337
20190727T181759;1.4345
20190727T181859;1.4352
20190727T181959;1.436
20190727T182059;1.4368
20190727T182159;1.4377
20190727T182259;1.4385
20190727T182359;1.4394
20190727T182459;1.4403
20190727T182559;1.4412
20190727T182659;1.4422
20190727T182759;1.4431
20190727T182859;1.4441
20190727T182959;1.4451
20190727T183059;1.4462
20190727T183159;1.4473
20190727T183259;1.4484
20190727T183359;1.4495
20190727T183459;1.4507
20190727T183559;1.4519
20190727T183659;1.4532
20190727T183759;1.4545
20190727T183859;1.4558
20190727T183959;1.4572
20190727T184059;1.4587
20190727T184159;1.4602
20190727T184259;1.4619
20190727T184359;1.4636
20190727T184459;1.4654
20190727T184559;1.4673
20190727T184659;1.4693
20190727T184759;1.4714
20190727T184859;1.4737
20190727T184959;1.4762
20190727T185059;1.4787
20190727T185159;1.4815
20190727T185259;1.4843
20190727T185359;1.4873
20190727T185459;1.4904
20190727T185559;1.4936
20190727T185659;1.497
20190727T185759;1.5004
20190727T185859;1.504
20190727T185959;1.5077
20190727T190059;1.5114
20190727T190159;1.5153
20190727T190259;1.5192
20190727T190359;1.5232
20190727T190459;1.5272
20190727T190559;1.5313
20190727T190659;1.5354
20190727T190759;1.5397
20190727T190859;1.5439
20190727T190959;1.5483
20190727T191059;1.5528
20190727T191159;1.5573
20190727T191259;1.5619
20190727T191359;1.5666
20190727T191459;1.5714
20190727T191559;1.5762
20190727T191659;1.581
20190727T191759;1.5859
20190727T191859;1.5907
20190727T191959;1.5955
20190727T192059;1.6002
20190727T192159;1.6049
20190727T192259;1.6096
20190727T192359;1.6143
20190727T192459;1.619
20190727T192559;1.6236
20190727T192659;1.6281
20190727T192759;1.6326
20190727T192859;1.6369
20190727T192959;1.6411
20190727T193059;1.6455
20190727T193159;1.6498
20190727T193259;1.6537
20190727T193359;1.6575
20190727T193459;1.661
20190727T193559;1.6643
20190727T193659;1.6674
20190727T193759;1.6703
20190727T193859;1.673
20190727T193959;1.6755
20190727T194059;1.6778
20190727T194159;1.6799
20190727T194259;1.6818
20190727T194359;1.6834
20190727T194459;1.6848
20190727T194559;1.6861
20190727T194659;1.6872
20190727T194759;1.6881
20190727T194859;1.6889
